Unnamed: 0,Final Mean,Cluster,Mood
AF3,-0.0011583505019345,2,Neutral
AF4,0.0141572646209152,0,Happy
F3,-0.005423318962492,2,Neutral
F4,0.0014392370974392,0,Happy
F7,0.0025610637547709,0,Happy
F8,0.0063534777349616,0,Happy
FC5,-0.0003105576410253,2,Neutral
FC6,-0.0054232508099576,2,Neutral
O1,-0.0139304005238484,2,Neutral
O2,-0.0051054070443376,2,Neutral
P7,-0.0102407350641469,2,Neutral
P8,-0.024239918556814,1,Sad
T7,0.0044603933653678,0,Happy
T8,0.0049044006813721,0,Happy
Unnamed: 14,,2,Neutral
