Unnamed: 0,Final Mean,Cluster,Mood
AF3,-0.0030867795097641,2,Neutral
AF4,0.0018106244871509,2,Neutral
F3,0.0661160753631706,1,Happy
F4,-0.0071474447967426,0,Sad
F7,0.0100043347056363,2,Neutral
F8,-0.0109599529732367,0,Sad
FC5,-0.010159753656384,0,Sad
FC6,-0.000330904875315,2,Neutral
O1,-0.0096289305053984,0,Sad
O2,-0.0025136364836544,2,Neutral
P7,-0.0039819017582675,2,Neutral
P8,0.0030070818571643,2,Neutral
T7,-0.0021472302012313,2,Neutral
T8,-0.0012513344468916,2,Neutral
Unnamed: 14,,2,Neutral
