Unnamed: 0,Final Mean,Cluster,Mood
AF3,-0.0021716330879496,2,Neutral
AF4,0.0275077642554546,0,Happy
F3,-0.0103411658496483,2,Neutral
F4,0.002785538967714,0,Happy
F7,0.0049590797872006,0,Happy
F8,0.0126068769064363,0,Happy
FC5,-0.0003749775003267,2,Neutral
FC6,-0.0107050461218811,2,Neutral
O1,-0.0268793659958891,2,Neutral
O2,-0.0102760672456995,2,Neutral
P7,-0.0198961164817598,2,Neutral
P8,-0.0471230500746235,1,Sad
T7,0.0089126977231517,0,Happy
T8,0.0096787430687218,0,Happy
Unnamed: 14,,2,Neutral
