Unnamed: 0,Final Mean,Cluster,Mood
AF3,-0.0019541980508862,2,Neutral
AF4,0.0065126785704994,1,Happy
F3,0.0127881464816218,1,Happy
F4,0.0031293543932343,2,Neutral
F7,0.0113580537739857,1,Happy
F8,-0.0073719749281736,0,Sad
FC5,-0.0056163225043789,0,Sad
FC6,-0.0016033985202015,2,Neutral
O1,-6.043133208722502e-05,2,Neutral
O2,-0.0042076565360699,0,Sad
P7,-0.0010254498731759,2,Neutral
P8,-0.0045949745025096,0,Sad
T7,0.0003331945110517,2,Neutral
T8,-0.0016503278190682,2,Neutral
Unnamed: 14,,2,Neutral
