Unnamed: 0,Final Mean,Cluster,Mood
AF3,0.0513416509021096,2,Happy
AF4,-0.0065882615628528,1,Neutral
F3,-0.0079043330834988,1,Neutral
F4,0.0055754529138999,1,Neutral
F7,-0.0422311549257554,0,Sad
F8,-0.0343241019895037,0,Sad
FC5,-0.0113705848862804,1,Neutral
FC6,0.0575871912027285,2,Happy
O1,-0.0013372937079675,1,Neutral
O2,0.0508513710736692,2,Happy
P7,-0.008612622183278,1,Neutral
P8,0.0478351348419036,2,Happy
T7,-0.0095494602366542,1,Neutral
T8,0.012983989082146,1,Neutral
Unnamed: 14,,1,Neutral
