Unnamed: 0,Final Mean,Cluster,Mood
AF3,0.1002639320890476,2,Happy
AF4,-0.0131270010898122,1,Neutral
F3,-0.0167478450985569,1,Neutral
F4,0.0127731700584217,1,Neutral
F7,-0.0841615358536807,0,Sad
F8,-0.0684377586205949,0,Sad
FC5,-0.0211840130052022,1,Neutral
FC6,0.1120883215132541,2,Happy
O1,-0.0026068323397469,1,Neutral
O2,0.0999982631099027,2,Happy
P7,-0.0171029691618934,1,Neutral
P8,0.0939322359247882,2,Happy
T7,-0.0202644834526037,1,Neutral
T8,0.0250572135858073,1,Neutral
Unnamed: 14,,1,Neutral
