Unnamed: 0,Final Mean,Cluster,Mood
AF3,-0.0019908217374254,2,Neutral
AF4,-0.0027824993281984,2,Neutral
F3,0.0018124607480327,1,Happy
F4,0.0019181679376045,1,Happy
F7,0.004130336829316,1,Happy
F8,-0.0049700684683807,0,Sad
FC5,-0.0005877512729072,2,Neutral
FC6,-0.0019101607132365,2,Neutral
O1,-0.0014734315640489,2,Neutral
O2,0.0024411236171507,1,Happy
P7,0.0015678845440081,1,Happy
P8,0.0002462381513188,2,Neutral
T7,-0.0001967282251647,2,Neutral
T8,0.0020313833298579,1,Happy
Unnamed: 14,,2,Neutral
